Batch,2min,7min,12min,17min,22min,27min,32min,37min,42min,47min,52min,57min,62min,67min,72min,77min,82min,87min,92min,97min,102min,107min,112min,117min,122min,127min,132min,137min,142min,147min,152min,157min,162min,167min,172min,177min,182min,187min,192min,197min,202min,207min,212min,217min,222min,227min,232min,237min,242min,247min,252min,257min,262min,267min,272min,277min,282min,287min,292min,297min,302min,307min,312min,317min,322min,327min,332min,337min,342min,347min,352min,357min,362min,367min,372min,377min,382min,387min,392min,397min,402min,407min,412min,417min,422min,427min,432min,437min,442min,447min,452min,457min,462min,467min,472min,477min,482min,487min,492min,497min,502min,507min,512min,517min,522min,527min,532min,537min,542min,547min,552min,557min,562min,567min,572min,577min,582min,587min,592min,597min,602min,607min,612min,617min,622min,627min,632min,637min,642min,647min,652min,657min,662min,667min,672min,677min,682min,687min,692min,697min,702min,707min,712min,717min,722min,727min,732min,737min,742min,747min,752min,757min,762min,767min,772min,777min,782min,787min,792min,797min,802min,807min,812min,817min,822min,827min,832min,837min,842min,min DO(%),initial OD,Final OD,DO rise(%),M.W DIST(%)
IBC21002,102.74,102.53,102.31,101.75,101.42,100.95,100.14,99.54,98.76,97.92,96.89,96.16,96.01,96.61,96.99,96.61,95.42,94.72,92.8,90.98,89.56,89.1,89.14,86.05,83.46,82.34,81.75,78.95,75.85,73.87,71.52,67.64,64.32,60.37,57.98,51.67,48.33,44.02,40.66,34.4,39.84,39.59,36.24,32.39,27.02,24.48,21.45,18.31,16.68,13.55,13.82,12.03,10.25,9.75,10.46,9.28,9.94,9.32,9.37,8.41,9.41,8.22,9.17,8.32,9.74,9.48,10.86,12.47,14.54,17.06,18.58,21.08,24.23,25.52,27.1,29.83,33.22,33.62,36.18,38.19,41.21,43.89,46.46,50.34,60.72,83.26,86.53,87.39,88.44,88.79,89.48,90.52,91.13,91.7,92.44,92.46,93.48,94.25,95.05,95.61,95.97,96.68,97.34,98,98.67,99.41,99.86,99.92,100.28,100.91,101.37,101.73,102.08,102.55,102.83,103.08,103.14,103.37,103.63,103.9,103.91,104.03,104.2,104.32,104.38,104.35,104.43,104.5,104.61,104.73,104.57,104.65,104.64,104.69,104.72,104.61,104.64,104.78,104.78,104.71,104.61,104.66,104.68,104.72,104.64,104.62,104.67,104.73,104.76,104.62,104.62,104.72,104.82,104.72,104.68,104.66,104.82,104.85,104.71,104.71,104.72,104.91,104.94,104.85,104.79,104.95,105.03,104.92,104.87,8.07,1.6,6.82,34.4,92
IBC21003,94.93,94.48,94.11,93.74,93.21,92.55,92.03,91.26,90.5,89.82,89.28,89.19,89.51,89.95,89.53,88.65,87.8,87,85.46,83.49,81.69,80.35,80.57,78.27,76.87,75.35,73.36,71.55,69.11,66.86,63.87,61.98,57.84,55.29,51.28,47.91,43.92,37.91,34.85,39.4,38.61,36.01,33.57,30.2,27.36,23.32,21.28,18.8,15.82,13.5,10.21,10.24,9.98,9.44,8.87,9.62,9.3,9,8.88,9.03,8.8,9.21,10.05,11.14,11.31,12.39,11.83,13.74,15.72,18.02,20.1,20.35,24.2,25.62,27.34,28.84,30.2,33.08,34.92,36.45,38.88,42.23,46.15,49.94,51.29,78.2,80.36,81.67,82.35,83.09,83.62,84.5,84.79,85.21,85.63,86.49,86.98,87.38,87.78,88.66,89.33,89.86,90.41,90.71,91.31,91.91,92.39,92.81,93.43,93.92,94.22,94.59,94.84,95.27,95.45,95.75,95.82,96.03,96.35,96.43,96.47,96.54,96.66,96.87,97.11,96.92,97.02,97.02,97.17,97.19,97.09,97.12,97.21,97.23,97.23,97.13,97.13,97.24,97.27,97.21,97.09,97.17,97.22,97.13,96.95,96.87,96.92,96.98,97.05,96.99,96.98,97.03,97.07,97.03,96.96,97.06,97.16,97.26,97.27,97.16,97.11,97.24,97.28,97.19,97.19,97.23,97.32,97.43,97.47,7.89,1.8,6.24,29.08,93
IBC21004,95.53,95.29,94.89,94.47,93.87,93.53,92.85,92.06,91.35,90.66,89.7,88.98,88.78,89.52,90,89.72,88.59,87.89,86.25,84.55,83.44,81.57,80.65,77.32,75.74,78.14,74.77,72.83,70.16,68.43,65.95,63.35,60.2,57.72,55.11,51,47.72,43.5,39.4,35.32,36.54,39.98,38.24,36.56,34.3,31.9,30.71,27.77,26.35,24.29,24.03,22.41,20.96,19.85,16.97,17.19,15.76,14.36,14.91,16.35,19.04,20.87,21.75,23.11,24.5,27.68,29.43,30.85,31.56,32.53,35.73,34.76,35.43,36.92,37.72,38.65,41.46,43.4,45.13,45.42,47.06,48.62,49.24,51.53,53.3,54.9,56.05,57.52,58.89,60.63,62.01,63.77,65.8,66.74,68,70.28,70.99,72.89,73.99,75.75,76.16,77.12,77.86,78.9,78.88,89.26,90.15,90.64,90.67,90.9,91.33,91.85,92.38,92.69,93.18,93.54,93.59,93.95,94.19,94.7,94.96,95.36,95.56,95.73,96.15,96.32,96.57,96.72,96.81,96.98,97.11,97.32,97.25,97.19,97.3,97.4,97.54,97.53,97.52,97.66,97.82,97.94,97.87,97.82,97.94,98.05,97.99,97.92,97.95,98.04,98.22,98.18,98.12,98.21,98.21,98.28,98.21,98.17,98.24,98.32,98.42,98.4,98.4,98.39,98.52,98.53,98.47,98.39,98.31,13.82,1.7,6.35,10.38,89
IBC21005,98.27,98.22,98,97.69,97.46,97.17,96.88,96.7,96.28,95.98,95.73,95.62,95.66,95.53,95.28,94.77,94.07,93.36,92.45,91.67,91.41,90.41,88.6,87.09,85.69,84.98,84.42,83.14,81.52,81.37,80.5,79.3,77.47,75.16,71.52,69.69,67.21,64.13,61.39,58.78,55.65,52.47,47.73,44.07,40.04,38.08,43.36,42.86,40.59,38.04,35.59,34.46,34.13,31.35,29.56,27.98,26.52,27.57,25.18,24.28,22.14,20.02,20.44,20.33,19.65,22.39,21.84,22.83,22.65,23.2,25.65,27.96,28.3,30.61,32.52,33.46,35.47,37.16,38.86,40.7,42.58,45.06,45.56,47.65,48.56,49.47,51.88,54.45,55.04,57.53,60.26,61.18,62.97,64.15,65.67,68.21,70.55,71.41,72.59,74.68,74.53,76.44,76.97,77.65,79.47,78.98,80.5,80.69,81.78,82.34,83.07,84.35,84.42,85.8,86.83,86.75,87.78,88.73,89.21,89.17,89.98,90.8,91.46,91.95,91.82,92.05,92.39,92.84,93.22,93.46,93.53,93.19,93.53,93.62,93.81,93.86,93.97,94,96.65,97.62,97.73,97.98,98.02,98.18,98.19,98.23,98.25,98.33,98.34,98.29,98.35,98.39,98.42,98.36,98.44,98.4,98.42,98.41,98.47,98.48,98.56,98.55,98.54,98.54,98.55,98.64,98.67,98.68,98.69,18.48,1.2,6.95,4.98,90
IBC21006,98.18,98.13,98.02,98.02,97.87,97.79,97.63,97.54,97.44,97.14,96.92,96.61,96.23,95.97,95.55,95,94.42,94.09,93.7,93.36,92.43,91.68,90.74,90.11,89.01,87.89,87.58,86.53,85.35,82.8,81.18,83.14,81.11,79.86,77.18,75.34,73.5,72.08,69.62,67.07,64.78,62.31,60.22,55.88,50.72,47.72,48.03,53.53,49.85,48.06,48.06,46.67,45.57,43.63,42.82,40,38.62,38.17,37.96,32.23,31.49,31.32,31.28,31.62,31.8,34.33,34.12,35.64,37.83,37.53,39.86,41.05,40.61,42.44,44.29,45.61,46.49,47.69,49.16,50.07,51.92,53.43,54.23,56.15,57.49,58.58,59.35,61.21,62.13,63.65,64.86,65.98,67.13,68.24,70.1,71.39,72.45,73.75,75.65,76.67,79.25,78.61,79.92,80.11,81.01,81.56,81.98,82.81,82.69,83.75,83.43,84.24,84.88,84.48,85.3,85.77,85.52,86.32,86.82,86.5,87.2,88.01,87.6,88.15,88.87,89.29,89.08,89.75,90.38,90.93,90.61,90.83,91.41,91.91,92.26,92.49,92.21,92.57,92.8,93.22,93.41,93.59,93.57,93.35,93.56,93.84,93.99,94.1,94.19,94.34,94.31,94.02,94.17,94.2,94.4,94.44,94.49,94.6,94.66,94.5,94.33,94.46,94.5,94.57,94.64,94.81,94.84,94.88,94.68,30.3,1.1,4.82,5.29,70
IBC21007,99.51,99.38,99.37,99.27,99.19,99.09,98.99,98.73,98.64,98.51,98.43,97.87,97.67,97.34,97.06,96.78,96.33,95.77,95.02,94.6,94.34,93.73,92.75,92.1,91.26,90.16,89.21,88.3,87.47,85.95,84.62,82.41,82.87,82.8,80.63,78.74,76.76,74.58,72.55,71.03,68.49,66.26,64.93,60.9,58.43,53.96,51.84,48.29,52.96,52.47,49.55,48.69,47.71,45.34,44.79,40.88,39.29,38.63,38.04,37.03,35.67,34.39,32.52,31.65,30.96,31.99,30.97,32.44,33.68,35.92,36.84,38.57,40.58,40.63,39.94,40.94,42.59,43.75,45.3,47.06,48.25,49.1,50.68,51.97,53.5,55,56.78,57.53,59.81,59.81,61.29,62.32,63.07,64.96,66.63,68.21,69.18,69.31,71.68,73.16,74.09,76.77,77.12,78.5,79.18,80.21,80.87,81.6,81.42,82.9,82.52,83.45,83.4,84.05,84.85,84.55,85.39,85.96,85.81,86.8,87.05,87.13,87.96,88.62,88.23,88.9,89.78,90.08,89.77,90.34,91.05,91.63,91.36,91.53,92.16,92.5,92.8,93.15,92.88,93.05,93.38,93.69,93.99,94.19,94.34,94.26,94.1,94.27,94.47,94.66,94.72,94.82,94.97,94.78,94.64,94.82,94.86,94.92,95.06,95.11,95.17,94.87,94.83,95,95.11,95.17,95.13,95.26,95.4,29.85,1.2,5.02,4.88,80
IBC22001,99.29,99.22,99.31,99.12,98.97,99,98.82,98.72,98.3,98.16,97.71,97.47,96.9,96.47,96.07,95.63,94.91,94.47,94.09,93.07,91.79,90.97,90.31,89.19,89.04,88.6,85.91,84.69,82.38,83.68,82.9,80.7,77.56,76.21,74.59,71.77,69.71,67.29,64.71,61.47,57.9,55.46,49.96,46.39,45.72,50.06,47.88,46.72,43.91,42.48,39.71,37.66,34.7,34.45,32.67,31.64,30.43,26.76,24.91,24.23,24.03,22.14,22.12,22.17,23.64,25.82,26.27,27.27,28.21,29.69,31.66,33.07,34.75,36.27,37.56,39.38,40.68,42.41,42.97,44.69,47.34,48.6,49.54,51.47,52.62,53.72,55.76,56.44,57.72,59.57,61.23,62.64,63.57,65.48,66.6,68.07,69.13,71.47,73.51,73.65,76.11,75.92,77.44,77.77,78.9,78.95,80.22,80.6,81.46,81.06,82.28,82.07,82.85,83.5,83.33,84.57,84.64,85.14,86.1,86.12,86.76,87.62,88.17,87.91,88.74,89.5,90.14,89.8,90.33,90.95,91.51,92.09,91.88,92.02,92.39,92.84,93.26,93.45,93.56,93.54,93.35,93.62,93.81,93.94,94.05,94.1,94.39,94.39,94.05,94.12,94.32,94.53,94.59,94.67,94.71,94.79,94.73,94.67,94.82,94.89,95.03,95.2,95.21,95.26,95.07,95.13,95.27,95.21,95.34,21.34,1.4,5.35,4.43,77
IBC22002,99.07,99.01,99.04,99.01,98.87,98.72,98.67,98.52,98.21,98.01,97.67,97.3,96.95,96.45,96.11,95.47,94.87,94.28,93.98,93.33,92.13,91.2,90.43,89.27,88.74,87.4,86.18,84.6,82.83,83.22,82.05,79.95,77.73,77.08,72.86,71.24,69.11,66.86,64.52,60.98,58.6,56.52,50.04,46.27,44,49.26,48.39,45.75,44.27,41.1,38.93,36.18,33.71,32.04,31.75,31.03,28.27,25.79,23.42,22.67,22.23,21.82,21.83,23.17,24.58,26.62,27.45,28,28.72,30.26,32.78,34.04,35.06,36.6,37.24,39.15,41.2,42.71,43.85,45,46.83,48.04,49.52,50.7,52.38,53.52,54.97,56.33,58.2,59.51,61.08,61.7,63.08,64.73,65.84,67.24,68.34,70.06,71.37,72.91,74.35,75.09,76.64,76.68,78.09,78.21,79.96,79.59,81.02,80.25,81.45,82.1,81.94,83.27,82.87,83.74,84.66,84.42,85.4,86.23,85.97,86.92,87.83,87.97,88.15,88.86,89.73,90.17,89.99,90.41,90.97,91.59,91.98,92.25,91.98,92.32,92.9,93.11,93.25,93.42,93.67,93.45,93.53,93.78,93.78,94.07,94.16,94.27,94.24,94.3,94.17,94.23,94.33,94.48,94.53,94.61,94.82,94.89,94.93,94.91,94.86,94.97,95.04,95.03,95.06,95.19,95.22,95.21,95.22,21.32,1.5,5.21,3.69,90
IBC22003,99.13,99.33,99.13,99.04,98.93,98.9,98.74,98.61,98.47,98.37,98.07,97.4,96.99,96.57,96.37,95.95,95.25,94.57,94.15,93.82,93.05,91.65,90.27,89.65,88.42,88.31,86.34,84.18,82.94,84.01,82.94,80.46,78.39,76.05,73.78,72.54,69.54,67.16,64.4,61.78,58.84,55.88,53.05,47.4,46.07,49.71,47.76,46.65,44.4,42.04,39.31,38.23,35.71,34.58,33.26,31.02,29.18,26.42,24.81,24.87,23.5,23.01,23.23,25.69,26.34,27.01,28.77,30.6,31.46,32.01,33.8,35.21,35.87,38.24,40.58,41.51,42.56,43.54,44.71,46.34,48.17,49.64,51.02,52.71,53.87,54.7,55.79,57.09,58.52,59.53,61.3,62.38,64.06,65.05,66.55,67.3,69.19,70.21,71.68,73.36,74.58,75.98,77.06,77.39,78.83,78.99,80.02,80.12,81.37,81.57,81.82,83.02,82.47,83.38,83.61,83.93,85.01,84.88,85.4,86.37,86.34,86.86,87.82,88.23,88.2,88.97,89.78,90.21,89.94,90.59,91.17,91.75,92.14,92.07,92.19,92.5,92.88,93.13,93.38,93.66,93.52,93.72,93.91,94.1,94.36,94.46,94.55,94.67,94.4,94.49,94.64,94.82,94.89,94.94,94.97,95.08,95.22,95.2,95.09,95.17,95.27,95.31,95.45,95.5,95.57,95.59,95.68,95.53,95.55,22.18,1.5,4.73,6.83,63.4
IBC22004,99.57,99.67,99.57,99.42,99.36,99.31,99.23,99.13,98.91,98.52,98.18,97.96,97.68,97.25,96.65,96.28,95.63,95.49,95.02,94.1,93.49,92.83,91.75,90.66,90.06,89.37,87.88,86.61,84.84,82.91,83.73,82.76,80.61,78.96,76.29,74.64,72.51,71.43,67.9,65.88,62.31,61.19,56.08,52.6,49.5,46.74,50.96,48.82,48,46.26,44.49,42.42,39.68,37.97,37.35,35.48,35.1,32.87,30.31,28.54,27.89,26.56,27.22,26.55,28.63,29.48,30.09,32.17,33.79,34.24,35.61,37.31,38.63,39.98,39.77,42.4,42.99,43.63,46.58,46.39,47.32,48.37,50.06,51.15,52.73,53.5,55.19,56.56,57.69,60.57,60.78,63.13,64.7,64.58,66.17,68.14,68.51,70.47,72.21,73.48,75.15,75.93,77.05,77.85,78.94,79.38,80.39,80.53,81.48,81.19,82.52,82.45,83.21,83.75,83.91,84.65,84.75,85.41,86.43,86.21,86.58,87.57,88,87.68,88.42,89.32,89.76,89.51,90.09,90.82,91.37,91.62,91.37,91.86,92.32,92.73,93.15,93.07,92.95,93.33,93.47,93.82,94.06,94.22,94.54,94.11,94.02,94.19,94.42,94.5,94.55,94.58,94.74,94.83,94.57,94.6,94.76,94.75,94.88,95.01,95.16,95.3,95.07,95.13,95.15,95.26,95.28,95.41,95.44,25.91,1.4,5.15,6.04,62.1
IBC22005,100.88,100.7,100.66,100.48,100.38,100.3,100.21,100.13,99.98,99.88,99.57,99.4,99.08,98.84,98.5,98.01,97.56,97.41,96.89,96.26,95.95,95.51,94.86,94.12,93.2,92.02,91.25,90.28,89.92,88.58,87.03,85.49,83.91,84.38,83.23,81.79,80.38,77.63,75.41,72.58,69.72,68.06,66.48,62.9,60.91,57.39,54.48,48.59,46.87,46.5,50.09,46.52,44.54,42.28,41.59,39.27,37.2,35.31,35.48,34.65,32.66,32.46,31.1,29.31,29.37,30.07,30.61,31.56,32.89,34.3,36.41,36.62,38.16,39.57,40.13,41.21,43.42,43.38,45.08,46.18,47.63,49.15,50.16,51.06,52.23,53.75,54.73,55.77,56.48,57.85,59.49,60.24,61.41,62.62,63.96,65.56,66.15,67.61,68.71,70.91,74.1,74.24,76.58,76.72,78.93,78.9,80.24,80.26,81.58,81.57,82.94,83.05,83.22,84.16,83.9,84.79,85.23,85.06,86.02,86.28,86.14,87.19,87.51,87.2,87.91,88.75,88.56,89.01,89.93,90.55,90.15,90.47,91.11,91.71,92.17,91.84,92.02,92.52,93.09,93.39,93.57,93.31,93.63,93.97,94.17,94.38,94.55,94.68,94.34,94.56,94.7,94.8,94.94,95.04,95.22,94.85,94.84,94.9,95.04,95.09,95.26,95.27,95.42,95.08,95.11,95.4,95.44,95.52,95.58,28.43,1.1,4.38,5.53,65.1
IBC22006,98.53,98.27,98.1,97.87,97.89,98.12,98.18,97.83,97.6,97.07,96.41,95.59,95.59,95.15,94.47,93.59,92.39,92.01,90.53,88.67,86.91,85.84,85.42,84.92,82.71,81.79,81.59,79.72,76.36,73.06,70.89,66.95,66.05,63.96,60.3,55.22,53.34,49.77,45.07,37.56,33.59,37.89,37.26,35.07,33.05,30.37,25.86,22.02,19.62,17.17,15.48,13.94,13.16,10.82,9.87,10.44,9.71,9.34,9.1,9.05,9.65,9.08,9,9.26,8.95,8.93,9.08,10.1,11.05,12.35,15.96,17.45,18.38,19.83,20.62,23.15,25.77,27.52,28.84,31.09,31.72,34.09,36.29,39.03,43.15,43.74,77.07,79.73,81.97,82.59,83.44,84,84.55,85.29,86.18,86.32,87.26,88.03,88.81,89.05,89.92,90.52,91.18,92.04,92.45,92.72,93.49,93.92,94.58,95.15,95.52,95.96,96.23,96.61,96.85,97.25,97.49,97.64,98.08,98.22,98.33,98.28,98.36,98.6,98.71,98.78,98.84,98.9,98.92,98.96,99,98.99,98.96,99.05,99.11,99.04,99.03,98.99,99.12,99.16,99.01,99.04,99,99.03,99.11,99.1,98.98,99.01,98.98,99,99.06,99.03,98.96,99.16,99.03,98.97,98.88,98.86,98.95,99,99.04,99.08,99.06,99.15,99.18,99.19,99.09,99.01,99.05,8.86,1.7,5.21,34.55,90
